gen Z mass fit
mean Z		  Sigma Z
91.1146		  0.000348838
for positive muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.108		  0.00090195
1	 	 91.1115		  0.000938948
2	 	 91.1174		  0.00101055
3	 	 91.1279		  0.00114313
4	 	 91.1269		  0.00114131
5	 	 91.1171		  0.00100999
6	 	 91.1107		  0.00093958
7	 	 91.1076		  0.00090227
0	 	 91.1215		  0.000893546
1	 	 91.1187		  0.000934108
2	 	 91.1121		  0.00101286
3	 	 91.0995		  0.00116493
4	 	 91.099		  0.0011662
5	 	 91.112		  0.00101447
6	 	 91.1208		  0.000932737
7	 	 91.1202		  0.000894211
