gen Z mass fit
mean Z		  Sigma Z
91.1165		  0.000347616
gen Z mass fit DSCB
mean Z		  Sigma Z
91.1616		  0.000750356
for positive muons in eta bins
bin no.	 	mean Z		  Sigma Z
0	 	 91.1668		  0.00149453
1	 	 91.1626		  0.00159956
2	 	 91.1553		  0.00108158
3	 	 91.1608		  0.00174608
4	 	 91.1533		  0.00116062
5	 	 91.1542		  0.00118298
6	 	 91.1623		  0.00488065
7	 	 91.1667		  0.00154638
for negative muons in eta bins
bin no.	 	mean Z		  Sigma Z
0	 	 91.1532		  0.00171462
1	 	 91.1542		  0.00127954
2	 	 91.1669		  0.00127764
3	 	 91.1638		  0.00131777
4	 	 91.1639		  0.00131351
5	 	 91.1623		  0.00175223
6	 	 91.1535		  0.00125974
7	 	 91.154		  0.0018829
for positive muons after smearing in eta bins
bin no.	 	mean Z		  Sigma Z
0	 	 91.1318		  0.00161199
1	 	 91.1271		  0.00142714
2	 	 91.1259		  0.0012911
3	 	 91.1218		  0.00126604
4	 	 91.1209		  0.00125935
5	 	 91.1247		  0.0013197
6	 	 91.1266		  0.00138756
7	 	 91.1318		  0.0015793
for negative muons after smearing in eta bins
bin no.	 	mean Z		  Sigma Z
0	 	 91.116		  0.00163645
1	 	 91.1238		  0.00141858
2	 	 91.1296		  0.0013123
3	 	 91.1289		  0.00126951
4	 	 91.1293		  0.00126615
5	 	 91.1292		  0.00128484
6	 	 91.1228		  0.00141977
7	 	 91.1184		  0.00162026
