smearing percentage -0.312464
gen Z mass fit BW
mean Z		  Sigma Z
91.1222		  0.00425715
gen Z mass fit DSCB
mean Z		  Sigma Z
91.1747		  0.00553361
for positive muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.1263		  0.032646
1	 	 91.1286		  0.0107655
2	 	 91.1395		  0.01028
3	 	 91.1966		  0.00831336
4	 	 91.2538		  0.0144961
5	 	 91.2085		  0.0193946
6	 	 91.2315		  0.0331495
7	 	 91.3339		  0.044282
8	 	 91.1435		  0.0675105
9	 	 91.1924		  0.0656244
for positive muons after smearing in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 90.8778		  0.0500102
1	 	 90.8899		  0.0184278
2	 	 90.9095		  0.0152827
3	 	 91.2182		  0.0139931
4	 	 91.3328		  0.0258839
5	 	 91.3006		  0.0327202
6	 	 91.3214		  0.0498325
7	 	 91.3827		  0.109508
8	 	 91.1517		  0.101068
9	 	 91.3283		  0.11163
for negative muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.1415		  0.034298
1	 	 91.1325		  0.011341
2	 	 91.1455		  0.0101114
3	 	 91.1973		  0.00883337
4	 	 91.2338		  0.0173692
5	 	 91.2354		  0.0212933
6	 	 91.1837		  0.0295655
7	 	 91.229		  0.04647
8	 	 91.2774		  0.0681943
9	 	 91.1169		  0.0544032
for negative muons after smearing in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 90.9202		  0.0479327
1	 	 90.9377		  0.0179369
2	 	 90.9259		  0.0147589
3	 	 91.1984		  0.0132948
4	 	 91.3604		  0.0254033
5	 	 91.3016		  0.0312969
6	 	 91.2703		  0.0502034
7	 	 91.2271		  0.0661813
8	 	 91.0408		  0.119589
9	 	 91.2666		  0.0990685
