gen Z mass fit
mean Z		  Sigma Z
91.1165		  0.000347616
for positive muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.1474		  0.00288894
1	 	 91.1512		  0.000970423
2	 	 91.1498		  0.000853887
3	 	 91.1815		  0.000699187
4	 	 91.1806		  0.00140382
5	 	 91.1897		  0.00156776
6	 	 91.1891		  0.00246058
7	 	 91.1864		  0.0033012
8	 	 91.1929		  0.00489845
9	 	 91.1888		  0.00522429
for negative muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.1491		  0.00316432
1	 	 91.1518		  0.000978232
2	 	 91.1501		  0.000855967
3	 	 91.1826		  0.000701055
4	 	 91.1782		  0.00139496
5	 	 91.184		  0.00160184
6	 	 91.1865		  0.00253719
7	 	 91.1873		  0.0034064
8	 	 91.1768		  0.00550169
9	 	 91.1916		  0.00545624
