gen Z mass fit
mean Z		  Sigma Z
91.1165		  0.000347616
for positive muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.0964		  0.00271739
1	 	 91.1153		  0.000912703
2	 	 91.1265		  0.000834203
3	 	 91.1908		  0.000709755
4	 	 91.2291		  0.00128385
5	 	 91.2124		  0.0020175
6	 	 91.2122		  0.00288505
7	 	 91.2066		  0.00429127
8	 	 91.2134		  0.00590977
9	 	 91.2069		  0.0053194
for negative muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.1051		  0.0027484
1	 	 91.1171		  0.000923928
2	 	 91.1285		  0.000824842
3	 	 91.1915		  0.00071495
4	 	 91.2268		  0.00129063
5	 	 91.2037		  0.00225214
6	 	 91.2061		  0.00314194
7	 	 91.2		  0.00349769
8	 	 91.1851		  0.00604889
9	 	 91.2067		  0.00562156
