gen Z mass fit
mean Z		  Sigma Z
91.1165		  0.000347616
for positive muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.1668		  0.00149453
1	 	 91.1626		  0.00159956
2	 	 91.1553		  0.00108158
3	 	 91.1608		  0.00174608
4	 	 91.1533		  0.00116062
5	 	 91.1542		  0.00118298
6	 	 91.1623		  0.00488065
7	 	 91.1667		  0.00154638
0	 	 91.1532		  0.00171462
1	 	 91.1542		  0.00127954
2	 	 91.1669		  0.00127764
3	 	 91.1638		  0.00131777
4	 	 91.1639		  0.00131351
5	 	 91.1623		  0.00175223
6	 	 91.1535		  0.00125974
7	 	 91.154		  0.0018829
