gen Z mass fit
mean Z		  Sigma Z
91.153		  0.0206088
for positive muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.188		  0.169323
1	 	 91.0666		  0.0620333
2	 	 91.0807		  0.0671737
3	 	 91.1627		  0.0643831
4	 	 91.2301		  0.0856904
5	 	 91.1413		  0.0587169
6	 	 91.1392		  0.0523193
7	 	 91.1858		  0.0496755
0	 	 91.117		  0.0489854
1	 	 91.1376		  0.0668055
2	 	 91.2357		  0.0654273
3	 	 91.0781		  0.0743748
4	 	 91.0909		  0.077696
5	 	 91.057		  0.0666328
6	 	 91.1496		  0.0541031
7	 	 91.2735		  0.0504303
