gen Z mass fit
mean Z		  Sigma Z
91.1146		  0.000348838
for positive muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 91.1145		  0.000987846
1	 	 91.1139		  0.000986775
2	 	 91.1142		  0.000986959
3	 	 91.1158		  0.000986002
4	 	 91.1134		  0.00080558
5	 	 91.1132		  0.000806544
6	 	 91.1128		  0.00080647
7	 	 91.1139		  0.000806245
0	 	 91.115		  0.00098657
1	 	 91.1158		  0.000985251
2	 	 91.1142		  0.000988348
3	 	 91.1142		  0.000987644
4	 	 91.1195		  0.00138981
5	 	 91.1178		  0.00139421
6	 	 91.118		  0.00139007
7	 	 91.1169		  0.00138905
